City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Tripoli,LY,32.88,13.19,69.85,54,0,4.63,clear sky
297,Mahon,ES,39.89,4.27,66.76,82,40,9.22,scattered clouds
298,Verkhnyaya Khava,RU,51.84,39.94,24.87,69,1,8.72,clear sky
299,Acapulco,MX,16.86,-99.89,84.51,69,63,7.81,broken clouds
300,Deputatskiy,RU,69.3,139.9,-24.0,96,99,5.88,overcast clouds
301,Khurba,RU,50.41,136.88,14.77,95,29,1.34,scattered clouds
302,Awjilah,LY,29.11,21.29,61.36,38,0,3.04,clear sky
303,Laguna,US,38.42,-121.42,63.18,51,0,5.75,clear sky
304,Alenquer,BR,-1.94,-54.74,91.09,45,54,7.18,broken clouds
305,Chicama,PE,-7.84,-79.15,64.94,67,28,10.13,scattered clouds
306,Komsomolets,KZ,53.75,62.07,23.18,92,100,17.72,light snow
307,Auki,SB,-8.77,160.7,81.3,73,14,2.55,few clouds
308,Simao,CN,22.79,100.97,56.05,92,0,1.05,clear sky
309,Nenjiang,CN,49.18,125.22,16.2,89,11,0.98,few clouds
310,Tautira,PF,-17.73,-149.15,77.16,81,70,4.0,light rain
311,Simoes,BR,-7.6,-40.82,85.26,45,96,8.77,overcast clouds
312,Nanortalik,GL,60.14,-45.24,30.58,92,99,8.46,overcast clouds
313,Tessalit,ML,20.2,1.01,75.38,17,78,10.38,broken clouds
314,Bereda,ES,43.27,-7.54,54.41,91,100,11.39,overcast clouds
315,Galesong,ID,-5.32,119.37,75.22,83,99,3.91,overcast clouds
316,Batagay,RU,67.63,134.63,-28.53,100,82,2.19,broken clouds
317,Kavieng,PG,-2.57,150.8,82.56,72,98,10.92,overcast clouds
318,Hervey Bay,AU,-25.3,152.85,73.36,81,2,7.85,clear sky
319,Edd,ER,13.93,41.69,81.75,62,0,17.69,clear sky
320,Karachi,PK,24.91,67.08,73.22,88,0,2.3,smoke
321,Arteche,PH,12.26,125.4,79.34,89,100,10.83,overcast clouds
322,Tocache,PE,-8.18,-76.51,79.72,92,100,0.31,overcast clouds
323,Ewa Beach,US,21.32,-158.01,83.08,63,0,13.8,clear sky
324,Makaryev,RU,57.88,43.81,27.37,84,89,10.98,overcast clouds
325,Christchurch,NZ,-43.53,172.63,65.95,79,100,17.27,overcast clouds
326,Palmer,US,42.16,-72.33,42.49,40,20,11.5,few clouds
327,Korla,CN,41.76,86.15,33.94,57,3,5.61,clear sky
328,Touros,BR,-5.2,-35.46,79.38,77,24,12.59,few clouds
329,Bac Lieu,VN,9.28,105.72,78.6,88,100,10.74,overcast clouds
330,Mnogovershinnyy,RU,53.94,139.92,5.68,92,25,3.31,scattered clouds
331,Saint-Augustin,CA,51.23,-58.65,27.93,94,100,22.5,snow
332,Ilo,PE,-17.64,-71.34,70.66,60,0,13.8,clear sky
333,Da Nang,VN,16.07,108.22,78.78,89,40,3.44,scattered clouds
334,Amahai,ID,-3.33,128.92,79.48,84,100,2.84,overcast clouds
335,Show Low,US,34.25,-110.03,45.09,36,0,5.75,clear sky
336,Surt,LY,31.21,16.59,69.24,56,0,8.93,clear sky
337,Tibagi,BR,-24.51,-50.41,71.1,84,100,4.41,overcast clouds
338,Wetaskiwin,CA,52.97,-113.37,34.02,92,19,5.44,few clouds
339,Saint-Georges,GD,12.06,-61.75,85.68,74,20,23.02,few clouds
340,Hualmay,PE,-11.1,-77.61,67.6,74,15,8.93,few clouds
341,Muroto,JP,33.28,134.15,61.03,59,99,7.38,overcast clouds
342,Punta Alta,AR,-38.88,-62.07,71.11,47,6,11.27,clear sky
343,Poum,NC,-20.23,164.02,75.72,79,50,4.27,scattered clouds
344,Tra Vinh,VN,9.93,106.35,77.68,88,96,6.98,overcast clouds
345,Maneromango,TZ,-7.2,38.78,67.06,95,0,2.86,clear sky
346,Leningradskiy,RU,69.38,178.42,1.15,95,87,5.3,overcast clouds
347,Bourail,NC,-21.57,165.48,76.66,70,12,0.87,few clouds
348,Wonosobo,ID,-7.36,109.9,68.41,95,100,1.25,overcast clouds
349,Mareeba,AU,-17.0,145.43,74.12,94,74,2.08,broken clouds
350,Itarema,BR,-2.92,-39.92,80.04,77,85,15.23,overcast clouds
351,Airai,TL,-8.93,125.41,60.69,84,74,2.21,broken clouds
352,Koungou,YT,-12.73,45.2,78.51,83,20,11.5,few clouds
353,Ghanzi,BW,-21.57,21.78,77.77,43,23,14.34,few clouds
354,Igarka,RU,67.47,86.58,-25.4,92,12,5.32,few clouds
355,Pascagoula,US,30.37,-88.56,64.42,68,20,9.01,few clouds
356,Kununurra,AU,-15.77,128.73,78.78,89,82,0.0,broken clouds
357,Nara,JP,34.69,135.8,47.5,77,4,1.9,clear sky
358,Bubaque,GW,11.28,-15.83,83.61,70,58,13.49,broken clouds
359,Choya,RU,52.01,86.55,34.14,80,100,4.0,overcast clouds
360,Itamarandiba,BR,-17.86,-42.86,70.32,83,100,1.7,moderate rain
